year,administrative_unit_id,social_group_id,age,men,women
2019,53,13,45,57,53
2019,53,13,46,51,47
2019,53,13,47,46,43
2019,53,13,48,43,41
2019,53,13,49,41,41
2019,53,13,50,38,39
2019,53,13,51,37,39
2019,53,13,52,37,39
2019,53,13,53,37,41
2019,53,13,54,38,43
2019,53,13,55,40,45
2019,53,13,56,41,48
2019,53,13,57,40,49
2019,53,13,58,36,45
2019,53,13,59,31,39
2019,53,13,60,29,37
2019,53,13,61,22,28
2019,53,13,62,17,23
2019,53,13,63,14,21
2019,53,13,64,14,22
2019,53,13,65,14,22
2019,53,13,66,14,22
2019,53,13,67,14,21
2019,53,13,68,13,21
2019,53,13,69,13,21
2019,53,13,70,12,19
2019,53,13,71,10,18
2019,53,13,72,9,15
2019,53,13,73,7,12
2019,53,13,74,5,9
2019,53,13,75,4,7
2019,53,13,76,4,7
2019,53,13,77,4,8
2019,53,13,78,5,11
2019,53,13,79,6,12
2019,53,13,80,5,13
2019,53,13,81,4,12
2019,53,13,82,4,10
2019,53,13,83,3,8
2019,53,13,84,2,6
2019,53,13,85,2,5
2019,53,13,86,2,5
2019,53,13,87,1,5
2019,53,13,88,1,4
2019,53,13,89,1,4
2019,53,13,90,1,3
2019,53,13,91,1,3
2019,53,13,92,1,2
2019,53,13,93,0,2
2019,53,13,94,0,1
2019,53,13,95,0,1
2019,53,13,96,0,1
2019,53,13,97,0,1
2019,53,13,98,0,1
2019,53,13,99,0,1
2019,61,23,0,967,932
2019,61,24,1,1052,996
2019,61,24,2,1179,1132
2019,61,25,3,1132,1082
2019,61,25,4,1079,1033
2019,61,25,5,1041,1000
2019,61,25,6,1053,1017
2019,61,21,7,983,957
2019,61,21,8,865,839
2019,61,21,9,881,859
2019,61,21,10,856,830
2019,61,21,11,798,769
2019,61,22,12,751,731
2019,61,22,13,766,756
2019,61,22,14,808,746
2019,61,22,15,822,760
2019,61,26,16,845,767
2019,61,26,17,836,759
2019,61,26,18,1372,1139
2019,61,27,16,4,4
2019,61,27,17,22,22
2019,61,27,18,56,45
2019,61,27,19,83,66
2019,61,27,20,195,285
2019,61,27,21,501,492
2019,61,27,22,712,696
2019,61,27,23,926,908
2019,61,27,24,1136,1117
2019,61,27,25,1216,1309
2019,61,27,26,1411,1538
2019,61,27,27,1605,1756
2019,61,27,28,1698,1884
2019,61,27,29,1790,2011
2019,61,27,30,1680,1701
2019,61,28,30,1680,1701
2019,61,28,31,1734,1760
2019,61,28,32,1763,1794
2019,61,28,33,1776,1812
2019,61,28,34,1772,1805
2019,61,28,35,1575,1667
2019,61,28,36,1541,1633
2019,61,28,37,1504,1594
2019,61,28,38,1472,1563
2019,61,28,39,1424,1510
2019,61,28,40,1221,1363
2019,61,29,40,1221,1363
2019,61,29,41,1190,1326
2019,61,29,42,1158,1289
2019,61,29,43,1130,1255
2019,61,29,44,1109,1227
2019,61,29,45,1123,1221
2019,61,29,46,1110,1201
2019,61,29,47,1071,1191
2019,61,29,48,1072,1251
2019,61,29,49,1165,1251
2019,61,29,50,1312,1334
2019,61,29,51,1434,1456
2019,61,29,52,1427,1457
2019,61,29,53,1420,1454
2019,61,29,54,1385,1431
2019,61,29,55,1341,1388
2019,61,29,56,1291,1345
2019,61,29,57,1229,1291
2019,61,29,58,1174,1236
2019,61,29,59,1070,1145
2019,61,29,60,690,728
2019,61,30,60,0,728
2019,61,30,61,0,646
2019,61,30,62,0,564
2019,61,30,63,0,473
2019,61,30,64,0,390
2019,61,30,65,328,326
2019,61,30,66,261,255
2019,61,30,67,208,201
2019,61,30,68,163,156
2019,61,30,69,133,122
2019,61,30,70,127,114
2019,61,30,71,111,80
2019,61,30,72,77,63
2019,61,30,73,44,49
2019,61,30,74,32,40
2019,61,30,75,29,29
2019,61,30,76,20,23
2019,61,30,77,15,16
2019,61,30,78,11,12
2019,61,30,79,7,8
2019,61,30,80,5,6
2019,61,30,81,4,4
2019,61,30,82,3,4
2019,61,30,83,3,3
2019,61,30,84,2,3
2019,61,30,85,2,3
2019,61,30,86,2,3
2019,61,30,87,2,2
2019,61,30,88,1,2
2019,61,30,89,1,2
2019,61,30,90,1,1
2019,61,30,91,1,1
2019,61,30,92,0,1
2019,61,30,93,0,1
2019,61,31,60,0,964
2019,61,31,61,0,1038
2019,61,31,62,0,1060
2019,61,31,63,0,1186
2019,61,31,64,0,1229
2019,61,31,65,564,1192
2019,61,31,66,616,1250
2019,61,31,67,639,1253
2019,61,31,68,692,1308
2019,61,31,69,690,1350
2019,61,31,70,607,1301
2019,61,31,71,823,1374
2019,61,31,72,731,1359
2019,61,31,73,580,1030
2019,61,31,74,303,657
2019,61,31,75,224,393
2019,61,32,76,208,449
2019,61,32,77,369,727
2019,61,32,78,471,886
2019,61,32,79,463,1050
2019,61,32,80,506,1234
2019,61,32,81,537,1312
2019,61,32,82,327,807
2019,61,32,83,254,669
2019,61,32,84,198,514
2019,61,32,85,165,479
2019,61,32,86,178,513
2019,61,32,87,157,450
2019,61,32,88,157,442
2019,61,32,89,111,336
2019,61,32,90,98,299
2019,61,32,91,88,239
2019,61,32,92,66,195
2019,61,32,93,43,155
2019,61,32,94,31,121
2019,61,32,95,27,98
2019,61,32,96,19,73
2019,61,32,97,15,54
2019,61,32,98,14,36
2019,61,32,99,9,23
2019,61,32,100,3,10
2019,61,33,15,0,1
2019,61,33,16,0,1
2019,61,33,17,0,2
2019,61,33,18,0,11
2019,61,33,19,0,10
2019,61,33,20,0,42
2019,61,33,21,0,42
2019,61,33,22,0,39
2019,61,33,23,0,41
2019,61,33,24,0,42
2019,61,33,25,0,85
2019,61,33,26,0,110
2019,61,33,27,0,124
2019,61,33,28,0,143
2019,61,33,29,0,148
2019,61,33,30,0,123
2019,61,33,31,0,126
2019,61,33,32,0,125
2019,61,33,33,0,125
2019,61,33,34,0,118
2019,61,33,35,0,62
2019,61,33,36,0,57
2019,61,33,37,0,54
2019,61,33,38,0,58
2019,61,33,39,0,51
2019,61,33,40,0,13
2019,61,33,41,0,11
