house_id,resident_number
112224,328
112225,5
112226,5
112227,5
112228,5
112229,5
112230,5
112231,5
112232,224
112233,5
112234,5
112235,5
112236,5
112237,5
112238,5
112239,5
112240,5
112241,5
112242,170
112243,305
112244,5
112245,183
112246,5
112247,5
112248,1503
112249,5
112250,5
112251,5
112252,5
112253,5
112254,5
112255,5
112256,5
112257,5
112258,5
112259,5
112260,5
112261,5
112262,5
112263,5
112264,5
112265,5
112266,5
112267,5
112268,1036
112269,5
112270,5
112271,5
112272,5
112273,5
112274,5
112275,541
112276,5
112277,5
112278,5
112279,5
112280,5
112281,371
112282,5
112283,142
112284,5
112285,5
112286,5
112287,5
112288,396
112289,5
112290,606
112291,535
112292,31
112293,5
112294,5
112295,5
112296,5
112297,649
112298,5
112299,538
112300,5
112301,5
112302,5
112303,165
112304,5
112305,5
112306,5
112307,5
112308,5
112309,5
112310,5
112311,5
112312,5
112313,5
112314,5
112315,5
112316,5
112317,165
112318,5
112319,5
112320,5
112321,5
112322,5
112323,5
112324,158
112325,5
112326,5
112327,5
112328,5
112329,5
112330,5
112331,5
112332,999
112333,5
112334,5
112335,5
112336,820
112337,5
112338,5
112339,5
112340,5
112341,5
112342,5
112343,5
112344,5
112345,5
112346,5
112347,5
112348,5
112349,5
112350,5
112351,5
112352,5
112353,5
112354,5
112355,5
112356,5
112357,5
112358,5
112359,5
112360,5
112361,656
112362,5
112363,760
112364,5
112365,5
112366,5
112367,5
112368,5
112369,5
112370,5
112371,339
112372,5
112373,5
112374,5
112375,5
112376,862
112377,5
112378,5
112379,5
112380,5
112381,5
112382,1108
112383,5
112384,113
112385,5
112386,5
112387,5
112388,5
112389,5
112390,5
112391,144
112392,84
112393,5
112394,5
112395,185
112396,5
112397,5
112398,5
112399,5
112400,5
112401,5
112402,5
112403,5
112404,5
112405,156
112406,5
112407,195
112408,5
112409,84
112410,5
112411,5
112412,5
112413,5
112414,163
112415,5
112416,5
112417,5
112418,5
112419,5
112420,5
112421,5
112422,5
112423,5
112424,5
112425,5
112426,540
112427,5
112428,959
112429,5
112430,5
112431,5
112432,5
112433,5
112434,5
112435,5
112436,5
112437,5
112438,5
112439,5
112440,5
112441,5
112442,81
112443,5
112444,5
112445,5
112446,5
112447,5
112448,5
112449,5
112450,310
112451,5
112452,5
112453,715
112454,5
112455,5
112456,229
112457,5
112458,5
112459,5
112460,5
112461,5
112462,5
112463,224
112464,5
112465,5
112466,5
112467,256
112468,5
112469,5
112470,5
112471,5
112472,5
112473,5
112474,80
